STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
32,001,Churchill,Nevada,24877,+39.473584,-118.795661
32,003,Clark,Nevada,1951269,+36.143366,-115.149940
32,005,Douglas,Nevada,46997,+38.956913,-119.755928
32,007,Elko,Nevada,48818,+40.870907,-115.518595
32,009,Esmeralda,Nevada,783,+37.708803,-117.677756
32,011,Eureka,Nevada,1987,+39.866898,-116.147686
32,013,Humboldt,Nevada,16528,+41.034176,-117.745055
32,015,Lander,Nevada,5775,+40.520911,-116.943210
32,017,Lincoln,Nevada,5345,+37.690300,-114.644504
32,019,Lyon,Nevada,51980,+39.348780,-119.325133
32,021,Mineral,Nevada,4772,+38.590037,-118.638693
32,023,Nye,Nevada,43946,+36.468656,-116.165792
32,027,Pershing,Nevada,6753,+40.343440,-118.294549
32,029,Storey,Nevada,4010,+39.389364,-119.624138
32,031,Washoe,Nevada,421407,+39.535558,-119.795493
32,033,White Pine,Nevada,10030,+39.273238,-114.862381
32,510,Carson City,Nevada,55274,+39.166134,-119.753711
