STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
29,001,Adair,Missouri,25607,+40.195660,-092.582446
29,003,Andrew,Missouri,17291,+39.922565,-094.818293
29,005,Atchison,Missouri,5685,+40.421105,-095.437688
29,007,Audrain,Missouri,25529,+39.205358,-091.821071
29,009,Barry,Missouri,35597,+36.735065,-093.862744
29,011,Barton,Missouri,12402,+37.495228,-094.308903
29,013,Bates,Missouri,17049,+38.276163,-094.362322
29,015,Benton,Missouri,19056,+38.302689,-093.308948
29,017,Bollinger,Missouri,12363,+37.338242,-089.998323
29,019,Boone,Missouri,162642,+38.959866,-092.321523
29,021,Buchanan,Missouri,89201,+39.750602,-094.821954
29,023,Butler,Missouri,42794,+36.753790,-090.413589
29,025,Caldwell,Missouri,9424,+39.664765,-093.994816
29,027,Callaway,Missouri,44332,+38.802239,-091.993447
29,029,Camden,Missouri,44002,+38.072828,-092.749496
29,031,Cape Girardeau,Missouri,75674,+37.353894,-089.606250
29,033,Carroll,Missouri,9295,+39.410155,-093.495631
29,035,Carter,Missouri,6265,+36.949427,-090.897277
29,037,Cass,Missouri,99478,+38.746895,-094.423526
29,039,Cedar,Missouri,13982,+37.767996,-093.895022
29,041,Chariton,Missouri,7831,+39.486626,-092.934967
29,043,Christian,Missouri,77422,+37.025687,-093.262511
29,045,Clark,Missouri,7139,+40.413068,-091.704732
29,047,Clay,Missouri,221939,+39.251395,-094.493920
29,049,Clinton,Missouri,20743,+39.602093,-094.370131
29,051,Cole,Missouri,75990,+38.552393,-092.218634
29,053,Cooper,Missouri,17601,+38.909615,-092.772604
29,055,Crawford,Missouri,24696,+38.059819,-091.322802
29,057,Dade,Missouri,7883,+37.415613,-093.829944
29,059,Dallas,Missouri,16777,+37.643825,-093.067095
29,061,Daviess,Missouri,8433,+39.942683,-093.983258
29,063,DeKalb,Missouri,12892,+39.819610,-094.340504
29,065,Dent,Missouri,15657,+37.630684,-091.542131
29,067,Douglas,Missouri,13684,+36.939746,-092.588247
29,069,Dunklin,Missouri,31953,+36.326743,-090.059209
29,071,Franklin,Missouri,101492,+38.432966,-090.999826
29,073,Gasconade,Missouri,15222,+38.453630,-091.491625
29,075,Gentry,Missouri,6738,+40.199987,-094.439143
29,077,Greene,Missouri,275174,+37.193837,-093.308300
29,079,Grundy,Missouri,10261,+40.091968,-093.595469
29,081,Harrison,Missouri,8957,+40.313851,-094.000823
29,083,Henry,Missouri,22272,+38.394758,-093.736873
29,085,Hickory,Missouri,9627,+37.910659,-093.330251
29,087,Holt,Missouri,4912,+40.092393,-095.199972
29,089,Howard,Missouri,10144,+39.139325,-092.705762
29,091,Howell,Missouri,40400,+36.793133,-091.873823
29,093,Iron,Missouri,10630,+37.571851,-090.711599
29,095,Jackson,Missouri,674158,+39.010332,-094.446137
29,097,Jasper,Missouri,117404,+37.128993,-094.443436
29,099,Jefferson,Missouri,218733,+38.340593,-090.475744
29,101,Johnson,Missouri,52595,+38.757209,-093.770312
29,103,Knox,Missouri,4131,+40.151668,-092.150669
29,105,Laclede,Missouri,35571,+37.669645,-092.654560
29,107,Lafayette,Missouri,33381,+39.056329,-093.840082
29,109,Lawrence,Missouri,38634,+37.035398,-093.797074
29,111,Lewis,Missouri,10211,+40.085505,-091.649082
29,113,Lincoln,Missouri,52566,+39.003625,-090.928671
29,115,Linn,Missouri,12761,+39.796774,-093.065191
29,117,Livingston,Missouri,15195,+39.795916,-093.554324
29,119,McDonald,Missouri,23083,+36.618064,-094.398080
29,121,Macon,Missouri,15566,+39.798522,-092.510330
29,123,Madison,Missouri,12226,+37.535795,-090.300055
29,125,Maries,Missouri,9176,+38.171917,-091.878062
29,127,Marion,Missouri,28781,+39.740805,-091.455661
29,129,Mercer,Missouri,3785,+40.418591,-093.575859
29,131,Miller,Missouri,24748,+38.247837,-092.507085
29,133,Mississippi,Missouri,14358,+36.857051,-089.365459
29,135,Moniteau,Missouri,15607,+38.628938,-092.616373
29,137,Monroe,Missouri,8840,+39.520553,-091.973958
29,139,Montgomery,Missouri,12236,+38.950802,-091.468473
29,141,Morgan,Missouri,20565,+38.381506,-092.850304
29,143,New Madrid,Missouri,18956,+36.605307,-089.658710
29,145,Newton,Missouri,58114,+36.921798,-094.411380
29,147,Nodaway,Missouri,23370,+40.352749,-094.867916
29,149,Oregon,Missouri,10881,+36.618129,-091.464771
29,151,Osage,Missouri,13878,+38.453819,-091.883136
29,153,Ozark,Missouri,9723,+36.623090,-092.424289
29,155,Pemiscot,Missouri,18296,+36.181794,-089.748715
29,157,Perry,Missouri,18971,+37.713672,-089.857097
29,159,Pettis,Missouri,42201,+38.702201,-093.246549
29,161,Phelps,Missouri,45156,+37.942882,-091.748715
29,163,Pike,Missouri,18516,+39.363535,-091.156139
29,165,Platte,Missouri,89322,+39.262166,-094.684698
29,167,Polk,Missouri,31137,+37.601813,-093.404415
29,169,Pulaski,Missouri,52274,+37.824257,-092.177300
29,171,Putnam,Missouri,4979,+40.480842,-092.979269
29,173,Ralls,Missouri,10167,+39.579580,-091.468633
29,175,Randolph,Missouri,25414,+39.412906,-092.451935
29,177,Ray,Missouri,23494,+39.335641,-094.061270
29,179,Reynolds,Missouri,6696,+37.336586,-090.972986
29,181,Ripley,Missouri,14100,+36.627212,-090.791802
29,183,St. Charles,Missouri,360485,+38.776604,-090.659755
29,185,St. Clair,Missouri,9805,+38.056009,-093.765606
29,186,Ste. Genevieve,Missouri,18145,+37.939468,-090.168495
29,187,St. Francois,Missouri,65359,+37.835573,-090.492254
29,189,St. Louis,Missouri,998954,+38.647121,-090.386218
29,195,Saline,Missouri,23370,+39.111933,-093.204898
29,197,Schuyler,Missouri,4431,+40.461815,-092.521984
29,199,Scotland,Missouri,4843,+40.448001,-092.146652
29,201,Scott,Missouri,39191,+37.014498,-089.577839
29,203,Shannon,Missouri,8441,+37.069627,-091.429472
29,205,Shelby,Missouri,6373,+39.761774,-092.077052
