STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
01,001,Autauga,Alabama,54571,+32.500389,-086.494165
01,003,Baldwin,Alabama,182265,+30.548923,-087.762381
01,005,Barbour,Alabama,27457,+31.844036,-085.310038
01,007,Bibb,Alabama,22915,+33.030921,-087.127659
01,009,Blount,Alabama,57322,+33.955243,-086.591491
01,011,Bullock,Alabama,10914,+32.116327,-085.701192
01,013,Butler,Alabama,20947,+31.773539,-086.653550
01,015,Calhoun,Alabama,118572,+33.725460,-085.819442
01,017,Chambers,Alabama,34215,+32.860439,-085.266474
01,019,Cherokee,Alabama,25989,+34.179333,-085.629194
01,021,Chilton,Alabama,43643,+32.877547,-086.687406
01,023,Choctaw,Alabama,13859,+32.016562,-088.264164
01,025,Clarke,Alabama,25833,+31.685685,-087.815673
01,027,Clay,Alabama,13932,+33.272412,-085.820227
01,029,Cleburne,Alabama,14972,+33.629770,-085.494315
01,031,Coffee,Alabama,49948,+31.354433,-085.904715
01,033,Colbert,Alabama,54428,+34.723385,-087.685151
01,035,Conecuh,Alabama,13228,+31.418674,-086.996483
01,037,Coosa,Alabama,11539,+32.975932,-086.155035
01,039,Covington,Alabama,37765,+31.282449,-086.410955
01,041,Crenshaw,Alabama,13906,+31.743487,-086.297080
01,043,Cullman,Alabama,80406,+34.162362,-086.831859
01,045,Dale,Alabama,50251,+31.383346,-085.641269
01,047,Dallas,Alabama,43820,+32.408815,-087.034955
01,049,DeKalb,Alabama,71109,+34.455110,-085.817208
01,051,Elmore,Alabama,79303,+32.559652,-086.225647
01,053,Escambia,Alabama,38319,+31.088737,-087.282053
01,055,Etowah,Alabama,104430,+34.013693,-086.025393
01,057,Fayette,Alabama,17241,+33.726422,-087.770355
01,059,Franklin,Alabama,31704,+34.460481,-087.793594
01,061,Geneva,Alabama,26790,+31.094260,-085.788849
01,063,Greene,Alabama,9045,+32.830505,-087.924000
01,065,Hale,Alabama,15760,+32.775804,-087.626084
01,067,Henry,Alabama,17302,+31.478593,-085.268828
01,069,Houston,Alabama,101547,+31.204550,-085.391221
01,071,Jackson,Alabama,53227,+34.731984,-085.938698
01,073,Jefferson,Alabama,658466,+33.518601,-086.814688
01,075,Lamar,Alabama,14564,+33.762769,-088.109649
01,077,Lauderdale,Alabama,92709,+34.866179,-087.608759
01,079,Lawrence,Alabama,34339,+34.543683,-087.272414
01,081,Lee,Alabama,140247,+32.588092,-085.345833
01,083,Limestone,Alabama,82782,+34.815612,-086.938972
01,085,Lowndes,Alabama,11299,+32.162415,-086.618688
01,087,Macon,Alabama,21452,+32.425739,-085.715007
01,089,Madison,Alabama,334811,+34.746392,-086.613232
01,091,Marengo,Alabama,21027,+32.340479,-087.800648
01,093,Marion,Alabama,30776,+34.111797,-087.874300
01,095,Marshall,Alabama,93019,+34.311974,-086.293279
01,097,Mobile,Alabama,412992,+30.683993,-088.170637
01,099,Monroe,Alabama,23068,+31.505611,-087.360894
01,101,Montgomery,Alabama,229363,+32.346175,-086.243797
01,103,Morgan,Alabama,119490,+34.514252,-086.930781
01,105,Perry,Alabama,10591,+32.581066,-087.369219
01,107,Pickens,Alabama,19746,+33.292973,-088.066472
01,109,Pike,Alabama,32899,+31.787277,-085.948647
01,111,Randolph,Alabama,22913,+33.257607,-085.427266
01,113,Russell,Alabama,52947,+32.421972,-085.062843
01,115,St. Clair,Alabama,83593,+33.660628,-086.369107
01,117,Shelby,Alabama,195085,+33.290719,-086.737978
01,119,Sumter,Alabama,13763,+32.574420,-088.232646
01,121,Talladega,Alabama,82291,+33.372083,-086.169238
01,123,Tallapoosa,Alabama,41616,+32.853060,-085.864503
01,125,Tuscaloosa,Alabama,194656,+33.214154,-087.520229
01,127,Walker,Alabama,67023,+33.834858,-087.253922
01,129,Washington,Alabama,17581,+31.410368,-088.186120
01,131,Wilcox,Alabama,11670,+31.999753,-087.380407
01,133,Winston,Alabama,24484,+34.163824,-087.415693
